#       iter stage                 tot                    mean               minFeLoss                    scav                  sfcflx                  sedflx                 ventflx                  botsnk                   impFS                     EPR                  runoff
           0 0  0.5358134837290620E+11  0.1300525491416297E-02  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
           1 1  0.5358134837290614E+11  0.1300525491416296E-02  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
           1 2  0.5358076338124103E+11  0.1300511292509477E-02  0.0000000000000000E+00  0.0000000000000000E+00  0.1697501159231937E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
           1 0  0.5358076338124103E+11  0.1300511292509477E-02  0.0000000000000000E+00 -0.6019666768196125E+06  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
           2 1  0.5358076338124107E+11  0.1300511292509479E-02  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
           2 2  0.5358017841524924E+11  0.1300497094225801E-02  0.0000000000000000E+00  0.0000000000000000E+00  0.1697501159231937E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
           2 0  0.5358017841524924E+11  0.1300497094225801E-02  0.0000000000000000E+00 -0.6019410030379383E+06  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
           3 1  0.5358017841524925E+11  0.1300497094225802E-02  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
           3 2  0.5357959347493066E+11  0.1300482896565265E-02  0.0000000000000000E+00  0.0000000000000000E+00  0.1697501159231937E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
           3 0  0.5357959347493066E+11  0.1300482896565265E-02  0.0000000000000000E+00 -0.6019153305659293E+06  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
           4 1  0.5357959347493065E+11  0.1300482896565265E-02  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
           4 2  0.5357900856028260E+11  0.1300468699527804E-02  0.0000000000000000E+00  0.0000000000000000E+00  0.1697501159231937E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
