#       iter stage                 tot                    mean                  botsnk                   impFS                     EPR                  runoff
           0 0  0.6520519305091502E+14  0.1582659233307313E+01  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
           1 1  0.6520519305091502E+14  0.1582659233307313E+01  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
           1 2  0.6520519305091494E+14  0.1582659233307311E+01  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
           1 0  0.6520519305091494E+14  0.1582659233307311E+01  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
           2 1  0.6520519305091492E+14  0.1582659233307311E+01  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
           2 2  0.6520519305091510E+14  0.1582659233307315E+01  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
           2 0  0.6520519305091510E+14  0.1582659233307315E+01  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
           3 1  0.6520519305091506E+14  0.1582659233307314E+01  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
           3 2  0.6520519305091470E+14  0.1582659233307306E+01  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
           3 0  0.6520519305091470E+14  0.1582659233307306E+01  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
           4 1  0.6520519305091467E+14  0.1582659233307305E+01  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
           4 2  0.6520519305091478E+14  0.1582659233307308E+01  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
