#       iter stage                 tot                    mean                  botsnk                   impFS                     EPR                  runoff
           0 0  0.1220643851497462E+16  0.2962744486691077E+02  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
           1 1  0.1220643851497462E+16  0.2962744486691077E+02  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
           1 2  0.1220643851497462E+16  0.2962744486691077E+02  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
           1 0  0.1220643851497462E+16  0.2962744486691077E+02  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
           2 1  0.1220643851497462E+16  0.2962744486691077E+02  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
           2 2  0.1220643851497462E+16  0.2962744486691079E+02  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
           2 0  0.1220643851497462E+16  0.2962744486691079E+02  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
           3 1  0.1220643851497462E+16  0.2962744486691079E+02  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
           3 2  0.1220643851497460E+16  0.2962744486691074E+02  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
           3 0  0.1220643851497460E+16  0.2962744486691074E+02  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
           4 1  0.1220643851497460E+16  0.2962744486691075E+02  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
           4 2  0.1220643851497460E+16  0.2962744486691075E+02  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
